date,index_symbol,eod_index_value,high,low,index_market_value,dividend_market_value
2020-08-17,NQX,2257.71,2261.3,2245.63,12699116807306.0,
2018-09-28,NQX,1525.53,1529.86,1519.74,8763835540109.0,
2023-01-26,NQX,2410.3,2411.18,2370.67,13978369167712.0,
2023-03-13,NQX,2384.63,2414.79,2339.08,13829541089203.0,135357107.0
2020-04-21,NQX,1680.6,1732.62,1671.97,9451115299891.0,
2020-01-27,NQX,1790.44,1800.29,1782.2,10041171277248.0,
2022-01-21,NQX,2887.68,2973.69,2886.55,17033720421869.0,
2024-12-24,NQX,4359.53,4359.53,4311.84,26714267643928.0,
2022-10-11,NQX,2158.27,2196.38,2143.3,12638408367910.0,
2019-11-25,NQX,1674.39,1674.56,1661.91,9351594690678.0,
2019-07-03,NQX,1571.54,1571.54,1562.26,8823912634226.0,1689011236.0
2023-07-07,NQX,3007.37,3042.13,3006.51,17352806758690.0,400836859.0
2022-07-13,NQX,2345.71,2363.94,2299.79,13800920339211.0,
2023-08-04,NQX,3054.98,3104.66,3051.75,17714552947064.0,769666048.0
2022-09-30,NQX,2194.24,2259.23,2193.39,12849070584617.0,
2019-10-25,NQX,1605.84,1606.66,1585.33,9010075261559.0,
2019-10-21,NQX,1588.07,1588.34,1577.55,8910330505940.0,
2019-07-10,NQX,1580.68,1584.78,1571.74,8875244332306.0,
2020-05-29,NQX,1911.1,1914.7,1875.99,10757171047162.0,124554367.0
2020-04-14,NQX,1738.43,1741.71,1694.13,9749517518982.0,349867818.0
2020-02-26,NQX,1774.75,1806.57,1762.78,9953210355112.0,144276576.0
2018-11-05,NQX,1387.42,1390.59,1371.96,7980738371064.0,46050922.0
2018-06-28,NQX,1406.32,1411.05,1390.05,7961645119935.0,494036869.0
2024-06-25,NQX,3940.23,3942.48,3904.75,23296105293455.0,
2023-10-20,NQX,2912.18,2956.28,2910.43,16850774389494.0,
2021-03-30,NQX,2579.31,2585.89,2559.61,14723640032125.0,541526843.0
2020-11-24,NQX,2415.96,2418.83,2375.66,13631721684917.0,63387481.0
2022-10-03,NQX,2245.95,2259.29,2197.03,13151821712601.0,
2021-06-23,NQX,2854.85,2864.95,2849.52,16305109229761.0,
2021-03-25,NQX,2556.1,2569.13,2525.58,14591179694529.0,
2021-03-15,NQX,2616.51,2617.03,2577.13,14943112813308.0,123521134.0
2018-10-12,NQX,1431.44,1435.81,1403.98,8223319017838.0,
2023-09-14,NQX,3094.78,3102.56,3067.44,17945310870203.0,1876175026.0
2023-05-09,NQX,2640.22,2650.96,2638.78,15283114444003.0,497064902.0
2023-02-15,NQX,2537.58,2537.88,2497.28,14716538222164.0,5013340915.0
2023-07-12,NQX,3061.45,3072.82,3041.94,17664823221777.0,
2023-02-01,NQX,2472.62,2491.77,2402.15,14339818367207.0,233382787.0
2020-02-18,NQX,1925.96,1929.54,1913.43,10801225313676.0,669026607.0
2023-11-22,NQX,3200.28,3223.9,3192.81,18517823286099.0,395171509.0
2020-03-05,NQX,1734.33,1772.83,1722.78,9726527189447.0,1529778882.0
2022-07-20,NQX,2487.94,2497.68,2446.42,14637733444167.0,
2022-12-23,NQX,2197.09,2201.4,2166.19,12741890119999.0,
2022-12-08,NQX,2327.5,2334.43,2294.14,13673590069161.0,663257608.0
2022-12-12,NQX,2341.29,2341.54,2305.88,13754596427264.0,
2021-12-08,NQX,3278.87,3280.23,3250.08,18959337410410.0,
2022-10-04,NQX,2316.51,2321.85,2292.48,13565020602552.0,3527767820.0
